xpos,ypos,xvel,yvel
-5.0864,-8.7169,-74.013,12.94
-17.726,-4.4872,-72.78,-3.7602
-14.741,-10.141,57.998,-75.567
1.5493,-10.773,146.04,-15.447
6.3812,-8.9981,9.6145,27.622
-0.22761,-3.2041,-54.917,-5.2983
-3.0783,-3.7455,23.065,-24.839
-2.408,-7.1681,61.052,-42.246
2.0677,-6.9649,40.339,9.5296
-1.9739,-1.5833,-25.598,12.462
-12.452,-3.2738,-79.183,-36.219
-22.226,-12.618,-53.486,-65.252
-17.509,-17.41,18.037,-42.777
-17.82,-15.401,-48.86,-21.449
-47.366,-4.6391,-343.82,36.339
-87.762,0.0096487,-379.98,0.49256
-94.329,-5.6918,-38.855,-14.633
-89.817,-10.698,19.849,-36.522
-18.097,-2.9628,4.5023,-21.177
-6.6788,-2.6692,16.718,-20.453
-6.6802,-4.4593,7.0908,-32.534
-8.8381,-8.0161,-4.6185,-37.38
-7.1639,-6.9647,7.9364,12.668
-9.1286,-4.8297,-22.325,6.3439
-11.342,-2.2928,-15.34,-7.9887
-4.4593,-6.499,18.411,-31.498
-1.4375,-11.243,11.84,-25.767
-2.2124,-11.368,13.397,-29.059
2.573,-10.576,62.44,-7.7639
3.25,-10.66,36.383,21.838
-0.99245,0.63315,7.8971,79.595
-6.5231,9.3417,-18.657,33.574
-9.8552,8.6897,20.34,-54.751
-12.619,3.628,-26.114,-47.612
-12.509,3.5012,27.059,33.711
-37.161,10.348,-238.12,146.79
-72.185,34.872,-363.88,287.22
-83.503,44.976,-103.19,91.818
-76.663,34.202,51.825,-65.878
-20.804,9.6414,5.3584,44.186
-11.457,10.791,51.948,23.623
-4.7051,8.0149,16.444,-12.786
-5.5962,3.4878,-9.6954,-30.275
-10.317,-0.36687,-33.415,-22.789
-11.975,1.6367,12.313,35.072
-9.7135,-1.7737,10.186,0.63686
-11.755,2.3093,-14.516,58.244
-5.6463,6.4733,41.4,63.993
6.6452,2.6417,94.765,-19.215
6.2632,-3.2767,18.568,-80.817
5.8279,-9.9881,33.794,-45.767
0.63328,-12.297,25.596,19.421
-8.3967,-11.938,-32.553,-3.2912
-8.5793,-12.856,36.183,-21.313
-22.614,-18.319,-156.47,-28.584
-68.347,-38.068,-399.76,-210.38
-71.313,-56.256,-14.537,-188.73
-54.321,-62.388,100.44,-47.996
-45.202,-49.414,12.609,36.818
-8.145,-5.9535,1.8656,31.902
-8.7583,7.0301,-17.687,37.054
-12.103,9.8259,-17.832,20.329
-14.211,0.76216,-6.3494,-87.465
-16.12,-7.8742,-27.832,-65.177
-14.698,-13.993,-19.571,-21.631
-14.447,-15.793,-17.3,-13.918
-7.9415,-16.947,55.748,-44.969
0.33205,-23.308,50.691,-80.552
3.0559,-22.325,-20.64,32.638
-2.6936,-5.9544,-23.82,95.001
-13.473,7.0228,-49.917,63.883
-21.578,10.375,-27.507,14.626
-11.237,1.2413,62.851,-8.7495
4.6652,-14.968,78.218,-42.953
-8.7418,-3.7332,-119.21,118.6
-40.932,41.37,-257.68,393.81
-45.672,75.656,-43.923,312.67
-39.794,85.549,61.052,92.391
-31.678,75.398,32.163,14.444
-12.184,17.445,-10.275,-8.3186
-7.6352,7.3996,14.621,-2.7977
-9.5626,1.0041,-33.719,-72.083
-8.4225,-7.8669,12.84,-66.332
-2.577,-7.83,51.455,11.52
-3.6037,-1.661,17.496,47.12
-10.3,3.15,-61.108,18.454
-1.5693,-7.0645,17.806,-77.109
1.5406,-15.494,-16.21,-35.291
-7.4741,-13.699,-42.796,30.033
-9.2157,-20.251,14.233,-122.01
-5.1089,-31.104,41.135,-85.736
-4.1156,-20.745,22.562,88.941
0.43057,-9.203,31.967,59.468
-1.9158,-4.4716,7.3597,-16.609
-6.6004,-5.9379,-31.001,-29.022
-9.7521,-0.71839,-6.8336,24.668
-8.921,7.392,14.673,43.879
-2.8224,1.1651,7.3199,8.0706
-2.056,0.75164,-32.307,32.002
-13.949,5.57,-182.91,91.064
-49.796,20.002,-372.24,187.42
-81.708,27.768,-203.25,104.34
-75.797,35.868,91.691,71.803
-17.512,7.9382,-4.3841,19.555
-14.38,4.1282,-17.622,34.22
-9.5989,4.4139,39.8,19.989
-6.353,-4.3959,13.668,-86.428
-9.4009,-0.70574,-36.43,59.094
-4.1977,7.1918,66.582,56.707
-1.0145,-1.7128,21.519,-87.47
-1.2286,-8.1986,-25.827,-46.529
-10.966,-8.188,-65.32,49.122
-16.2,-0.45666,-27.964,39.185
-25.505,4.0317,-50.908,17.138
-25.872,-0.85595,-11.99,-22.683
-23.108,0.94367,1.1871,26.131
-3.487,-5.8875,135.84,2.7038
8.5006,-3.7151,65.683,7.6233
-1.0754,-14.62,-125.84,-108.66
-40.241,-43.309,-346.45,-290.67
-69.274,-67.086,-207.84,-152.09
-74.084,-55.357,4.5203,131.57
-13.749,-6.1618,7.9267,10.237
0.23488,-7.986,41.533,-39.268
0.17329,-12.465,-13.268,-37.069
-10.895,-10.876,-65.474,12.527
-18.407,-4.767,-28.507,21.37
-18.206,-3.3947,17.403,-8.2349
-12.8,-5.3731,39.253,6.6476
-4.0649,-4.564,48.449,33.693
-6.6681,5.3695,-43.458,78.808
-9.8979,14.207,-0.21319,57.464
-8.9059,8.6825,30.04,-54.225
-10.996,-2.159,-1.5951,-35.935
-7.7615,-7.774,17.726,20.295
-4.4624,-6.7858,45.436,-11.437
-2.4534,-13.731,10.198,-32.05
7.6156,-23.724,37.404,-42.254
9.1392,-21.469,33.614,15.827
16.229,-6.2269,112.01,85.235
23.421,5.6575,128.4,129.94
50.161,25.843,287.13,177.43
61.443,31.361,181.08,47.562
59.042,27.328,49.919,-12.818
-2.5232,3.1794,-13.698,-24.456
-4.3891,-0.44297,80.517,-33.694
3.8164,-2.0621,40.098,-43.045
-2.1643,-2.9253,-38.572,-40.168
-6.8936,-0.30537,-23.434,30.138
-11.565,0.70194,-4.2027,-10.61
-11.474,-0.74435,7.8352,-27.778
-11.497,-6.1014,-18.919,-29.702
-14.959,-3.5597,4.735,25.346
-10.377,1.8382,70.111,40.944
-13.194,4.897,-38.457,-2.9732
-10.275,1.8551,35.376,-22.131
-11.182,-4.2528,-3.8089,-21.751
-15.079,-9.2387,-45.265,-46.262
-16.024,-15.251,-8.158,-50.699
-10.385,-22.051,56.929,-61.46
-3.5956,-25.714,57.428,-75.301
5.1797,-28.678,66.172,-120.01
23.86,-47.441,278.02,-268.39
63.356,-83.098,378.17,-331.86
71.882,-93.142,80.299,-124.47
58.586,-71.176,-25.294,58.105
2.1468,-16.168,9.2032,6.8059
-4.667,-6.4896,-25.577,42.654
-10.699,-6.0889,-11.977,-16.856
-17.628,-12.541,-53.017,-54.122
-20.279,-16.77,-21.611,-26.276
-20.913,-25.217,-14.5,-57.555
-28.587,-21.409,-43.772,-16.145
-35.355,-14.397,-41.535,22.474
-23.732,-7.2798,74.093,29.963
-8.74,-11.121,110.98,-51.115
-7.2159,-18.339,-34.614,-49.134
-8.0245,-16.421,-34.721,16.969
-9.1437,-13.722,7.1478,5.1644
0.56596,-14.836,104.05,-49.99
9.4315,-23.047,76.343,-79.4
2.8252,-31.22,-38.687,-82.516
-2.4762,-35.202,27.348,-72.014
6.6278,-33.325,120.73,-101.38
